Gold Standard ID,Language,X,text,user_name,user_id,label
gs382,English,16032,RT @ledamalekina: Not everyday is politics … food security is key to building the nation. This is how we do it on weekends during the rainy…,Otenge Benjamins,903947400867454976,non-hateful
gs383,English,28298,@kipmurkomen @OlaibonRoy the discussion we spent one and half hours on today.,MM,1384343498,non-hateful
gs384,English,39952,@KBonimtetezi @HonAyubSavula is the incoming https://t.co/t55oUlJyA3 will be number 3 after @Cleophasmalala.,Jaduong' Evans (Chairman),761636359601815552,non-hateful
gs385,English,1016,"RT @HonJohnMuchiri: 2/3
FC. 

3K FC has a project to purchase a Bus to aid their transportation. The bus is almost complete and it will be…",@CherryBartai,1288537792209977344,non-hateful
gs386,English,44180,"Artists have a Constitutional right to protect their property.  
IP = proprietary rights too and this… https://t.co/vDqtCJJFYg",Liz Lenjo,155535838,non-hateful
gs387,English,50687,"@HassanAliJoho @RailaOdinga @JunetMohamed @SABINACHEGE @ledamalekina Clean mbs,+ sort traffic/water/++++. Inbox is full of action items",Alexander Mwasi Mwawasi,1241681205025800193,non-hateful
gs388,English,7791,"At the Constituency level, we have managed to organize tournaments besides supporting various teams to thrive. It's… https://t.co/cgBB0jswHD","Hon. Ben Momanyi CBS, MP",1270753640530280448,non-hateful
gs389,English,37190,@ledamalekina @RailaOdinga Urgent online business. Vacancy vacancy vacancy in Nairobi. 8400 per week. Inbox at 0755410608,For the Youths,1473346300900950027,non-hateful
gs390,English,454,"RT @Cleophasmalala: VIHIGA COUNTY 

This evening, I inspected the ground preparations of the Vihiga Cultural Grounds ahead of the Sunday 6t…",BENARD MUDOGO,1466034872951230464,non-hateful
gs391,English,55106,@Iyyesa @BaloziYatani @GovMohamudAli Forwarded as received i don't know about its originality.,SonOfaNomad,760060977073287168,non-hateful
gs392,English,41462,Wamama Hi!! It's with great pleasure that we welcome on board the #AzimiolaWanawake wing to  our great match  to Ca… https://t.co/fytkZ93EcQ,Cebe Pavlov,104272844,non-hateful
gs393,English,16148,@MoiGideon @skmusyoka Coded message. GM the 6th! If you know you know,Amir Loita Jnr,585629002,non-hateful
gs394,English,13795,"RT @MikeSonko: Also, this is to assist me in obtaining resources that I'd ordinarily utilize to carry out my charitable and philanthropic a…",Bob,961870920,non-hateful
gs395,English,13856,@AnneWaiguru Another one from room 350,Francis Kinyua,954839778,non-hateful
gs396,English,27938,RT @Hon_FatumaGedi: Another achievement am humbled and honored. Profuse thanks to the people of Wajir county  and the entire region for the…,Victor Alago,2242296609,non-hateful
gs397,English,45211,RT @HonTimWanyonyi: I have taken note of the matters presented that affect the Civil Societies at the grassroots and will work towards addr…,Padwick Maratani,286317898,non-hateful
gs398,English,8300,RT @HonKimariKihara: At Gîtugî Mixed secondary  during monitoring and evaluation for the ongoing  construction of  multi-purpose hall as we…,James Kihara,424701665,non-hateful
gs399,English,14270,@KoechNelsonK Fuel prices at the background keeps me wondering what happened,VICTOR MIBEI,607315601,non-hateful
gs400,English,12170,RT @Moha001_Onyango: Haha i have boarded this KBS shuttle from Yaya Centre and all the passengers are @TheODMparty members from a function.…,Roy Odhiambo,834085310418006016,non-hateful
